DATE_HOUR,DAILYSUNRISE,DAILYSUNSET,HOURLYALTIMETERSETTING,HOURLYDEWPOINTTEMPF,HOURLYDRYBULBTEMPF,HOURLYPRECIP,HOURLYPRESENTWEATHERTYPE,HOURLYPRESSURECHANGE,HOURLYPRESSURETENDENCY,HOURLYRELATIVEHUMIDITY,HOURLYSEALEVELPRESSURE,HOURLYSKYCONDITIONS,HOURLYSTATIONPRESSURE,HOURLYVISIBILITY,HOURLYWETBULBTEMPF,HOURLYWINDDIRECTION,HOURLYWINDGUSTSPEED,HOURLYWINDSPEED
2014-01-01 11,731.0,1733.0,29.98,37.0,58.0,0.0,,0.06,8.0,46.0,29.98,CLR:00,29.34,10.0,50.0,170.0,,15.0
2014-01-01 12,731.0,1733.0,29.94,38.5,60.0,0.0,,0.06,8.0,45.0,29.955,CLR:00,29.335,10.0,52.0,180.0,,18.0
2014-01-01 13,731.0,1733.0,29.88,41.0,65.0,0.0,,,,42.0,29.88,FEW:02 300,29.24,10.0,56.0,190.0,,24.0
2014-01-01 14,731.0,1733.0,29.86,43.0,68.0,0.0,,0.12,6.0,40.0,29.86,FEW:02 300,29.22,10.0,59.0,200.0,30.0,20.0
2014-01-01 15,731.0,1733.0,29.86,43.5,68.5,0.0,,0.12,6.0,40.5,29.86,FEW:02 300,29.235,10.0,59.5,200.0,31.0,22.5
2014-01-01 16,731.0,1733.0,29.88,43.0,69.0,0.0,,,,39.0,29.88,FEW:02 300,29.24,10.0,60.0,230.0,,13.0
2014-01-01 17,731.0,1733.0,29.9,44.0,66.0,0.0,,-0.04,3.0,45.0,29.9,FEW:02 300,29.26,10.0,57.0,220.0,,11.0
2014-01-01 18,731.0,1733.0,29.93,44.0,63.5,0.0,,-0.04,3.0,49.5,29.915,FEW:02 50,29.29,10.0,55.0,230.0,,9.5
2014-01-01 19,731.0,1733.0,29.97,35.0,60.0,0.0,,,,39.0,29.99,FEW:02 50::FEW:02 50,29.33,10.0,51.5,320.0,22.0,20.5
2014-01-01 20,731.0,1733.0,30.06,33.0,49.0,0.0,,-0.16,3.0,55.0,30.06,CLR:00,29.42,10.0,43.0,330.0,37.0,25.0
2014-01-01 21,731.0,1733.0,30.13,31.0,45.0,0.0,,-0.16,3.0,58.5,30.095,CLR:00,29.47,10.0,39.5,335.0,36.0,23.5
2014-01-01 22,731.0,1733.0,30.18,25.0,36.0,0.0,,,,64.0,30.19,CLR:00,29.54,10.0,32.0,340.0,30.0,21.0
2014-01-01 23,731.0,1733.0,30.22,23.0,33.0,0.0,,-0.15,1.0,66.0,30.22,CLR:00,29.58,10.0,29.0,330.0,,23.0
2014-01-02 00,731.0,1733.0,30.24,22.0,32.5,0.0,,-0.15,1.0,65.0,30.23,CLR:00,29.6,10.0,28.5,335.0,33.0,20.5
2014-01-02 01,731.0,1733.0,30.27,19.0,30.0,0.0,,,,64.0,30.27,CLR:00,29.63,10.0,26.0,330.0,29.0,23.0
2014-01-02 02,731.0,1733.0,30.32,19.0,29.0,0.0,,-0.11,3.0,66.0,30.32,CLR:00,29.68,10.0,26.0,340.0,29.0,20.0
2014-01-02 03,731.0,1733.0,30.34,18.5,28.5,0.0,,-0.11,3.0,66.0,30.33,CLR:00,29.7,10.0,25.5,340.0,32.0,22.5
2014-01-02 04,731.0,1733.0,30.36,17.0,27.0,0.0,,,,66.0,30.36,CLR:00,29.72,10.0,24.0,340.0,,21.0
2014-01-02 05,731.0,1733.0,30.38,17.0,26.0,0.0,,-0.06,3.0,69.0,30.38,FEW:02 250,29.73,10.0,23.0,330.0,22.0,17.0
2014-01-02 06,731.0,1733.0,30.4,16.5,25.5,0.0,,-0.06,3.0,69.0,30.395,FEW:02 250,29.755,10.0,22.5,335.0,,17.5
2014-01-02 07,731.0,1733.0,30.43,16.0,25.0,0.0,,,,69.0,30.44,CLR:00,29.78,10.0,22.0,330.0,,21.0
2014-01-02 08,731.0,1733.0,30.45,15.0,27.0,0.0,,-0.06,1.0,61.0,30.45,CLR:00,29.81,10.0,23.0,340.0,,22.0
2014-01-02 09,731.0,1733.0,30.46,15.0,28.0,0.0,,-0.06,1.0,58.5,30.465,CLR:00,29.82,10.0,24.0,345.0,,21.0
2014-01-02 10,731.0,1733.0,30.49,15.0,32.0,0.0,,,,50.0,30.5,FEW:02 250,29.84,10.0,27.0,350.0,,15.0
2014-01-02 11,731.0,1733.0,30.48,16.0,34.0,0.0,,-0.03,0.0,48.0,30.49,FEW:02 250,29.83,10.0,29.0,330.0,,13.0
2014-01-02 12,731.0,1733.0,30.44,16.0,36.0,0.0,,0.03,,44.5,30.47,FEW:02 250,29.825,10.0,30.5,335.0,22.0,14.0
2014-01-02 13,731.0,1733.0,30.44,16.0,39.0,0.0,,,,39.0,30.45,FEW:02 250,29.79,10.0,33.0,310.0,,10.0
2014-01-02 14,731.0,1733.0,30.43,16.0,42.0,0.0,,0.05,6.0,35.0,30.43,FEW:02 250,29.78,10.0,36.0,330.0,,11.0
2014-01-02 15,731.0,1733.0,30.43,16.5,42.0,0.0,,0.05,6.0,35.5,30.435,FEW:02 250,29.795,10.0,36.0,335.0,,11.0
2014-01-02 16,731.0,1733.0,30.43,17.0,41.0,0.0,,,,38.0,30.44,FEW:02 250,29.78,10.0,35.0,350.0,,9.0
2014-01-02 17,731.0,1733.0,30.43,17.0,36.0,0.0,,,2.0,46.0,30.44,FEW:02 250,29.78,10.0,31.0,350.0,,8.0
2014-01-02 18,731.0,1734.0,30.43,17.0,35.0,0.0,,0.0,2.0,48.0,30.445,CLR:00,29.795,10.0,30.0,190.0,,7.0
2014-01-02 19,731.0,1734.0,30.44,18.0,35.0,0.0,,,,50.0,30.45,CLR:00,29.79,10.0,30.0,0.0,,0.0
2014-01-02 20,731.0,1734.0,30.45,18.0,36.0,0.0,,,3.0,48.0,30.46,CLR:00,29.81,10.0,31.0,0.0,,0.0
2014-01-02 21,731.0,1734.0,30.46,18.0,35.0,0.0,,-0.02,3.0,50.0,30.465,CLR:00,29.82,10.0,30.0,0.0,,0.0
2014-01-02 22,731.0,1734.0,30.45,18.0,33.0,0.0,,,,54.0,30.47,CLR:00,29.81,10.0,28.0,0.0,,0.0
2014-01-02 23,731.0,1734.0,30.45,17.0,31.0,0.0,,0.0,8.0,56.0,30.46,CLR:00,29.81,10.0,27.0,0.0,,0.0
2014-01-03 00,731.0,1734.0,30.44,17.0,30.5,0.0,,0.0,4.0,57.0,30.455,CLR:00,29.81,10.0,26.5,0.0,,0.0
2014-01-03 01,731.0,1734.0,30.43,18.0,29.0,0.0,,,,63.0,30.45,CLR:00,29.78,10.0,26.0,0.0,,0.0
2014-01-03 02,731.0,1734.0,30.44,19.0,30.0,0.0,,0.01,5.0,64.0,30.45,CLR:00,29.79,10.0,26.0,200.0,,3.0
2014-01-03 03,731.0,1734.0,30.43,19.5,29.0,0.0,,0.01,5.0,68.0,30.445,CLR:00,29.8,10.0,25.5,165.0,,4.0
2014-01-03 04,731.0,1734.0,30.41,19.0,27.0,0.0,,,,72.0,30.43,CLR:00,29.76,10.0,24.0,130.0,,3.0
2014-01-03 05,731.0,1734.0,30.41,19.0,28.0,0.0,,0.03,6.0,69.0,30.42,CLR:00,29.76,10.0,25.0,160.0,,3.0
2014-01-03 06,731.0,1734.0,30.4,18.0,27.0,0.0,,0.03,6.0,69.0,30.42,FEW:02 250,29.77,10.0,24.0,150.0,,4.5
2014-01-03 07,731.0,1734.0,30.4,19.0,27.0,0.0,,,,72.0,30.42,FEW:02 250,29.75,10.0,24.0,140.0,,7.0
2014-01-03 08,731.0,1734.0,30.41,22.0,33.0,0.0,,0.0,5.0,64.0,30.42,FEW:02 250,29.76,10.0,29.0,150.0,,8.0
2014-01-03 09,731.0,1734.0,30.41,21.5,35.5,0.0,,0.0,5.0,57.5,30.42,FEW:02 250,29.775,10.0,31.0,145.0,22.0,12.0
2014-01-03 10,731.0,1734.0,30.38,21.0,41.0,0.0,,,,45.0,30.39,FEW:02 250,29.73,10.0,35.0,160.0,,17.0
2014-01-03 11,731.0,1734.0,30.34,23.0,44.0,0.0,,0.07,8.0,43.0,30.35,FEW:02 250,29.7,10.0,38.0,160.0,,15.0
2014-01-03 12,731.0,1734.0,30.27,23.0,45.5,0.0,,0.07,8.0,41.0,30.315,FEW:02 250,29.675,10.0,39.0,160.0,,15.5
2014-01-03 13,731.0,1734.0,30.23,22.0,50.0,0.0,,,,33.0,30.23,FEW:02 250,29.59,10.0,43.0,180.0,,18.0
2014-01-03 14,731.0,1734.0,30.19,21.0,51.0,0.0,,0.15,6.0,31.0,30.19,FEW:02 250 FEW:02 300,29.55,10.0,44.0,170.0,,21.0
2014-01-03 15,731.0,1734.0,30.15,20.5,51.0,0.0,,0.15,6.0,30.0,30.17,FEW:02 300,29.54,10.0,44.0,170.0,30.0,21.0
2014-01-03 16,731.0,1734.0,30.13,20.0,50.0,0.0,,,,30.0,30.13,FEW:02 300,29.49,10.0,43.0,170.0,28.0,16.0
2014-01-03 17,731.0,1734.0,30.11,21.0,48.0,0.0,,0.08,6.0,34.0,30.12,SCT:04 300,29.47,10.0,41.0,170.0,23.0,17.0
2014-01-03 18,731.0,1735.0,30.1,21.5,47.5,0.0,,0.08,6.0,35.5,30.115,SCT:04 300,29.48,10.0,40.5,170.0,,17.0
2014-01-03 19,731.0,1735.0,30.09,22.0,46.0,0.0,,,,38.0,30.09,SCT:04 300,29.45,10.0,39.0,170.0,25.0,17.0
2014-01-03 20,731.0,1735.0,30.07,22.0,46.0,0.0,,0.04,8.0,38.0,30.07,BKN:07 300,29.43,10.0,39.0,180.0,24.0,18.0
2014-01-03 21,731.0,1735.0,30.06,22.5,45.5,0.0,,0.04,8.0,40.0,30.065,BKN:07 300,29.44,10.0,38.5,180.0,,16.5
2014-01-03 22,731.0,1735.0,30.04,22.0,46.0,0.0,,,,38.0,30.04,BKN:07 300,29.4,10.0,39.0,180.0,28.0,17.0
2014-01-03 23,731.0,1735.0,30.01,23.0,45.0,0.0,,0.06,8.0,42.0,30.01,BKN:07 300,29.37,10.0,38.0,180.0,,18.0
2014-01-04 00,731.0,1735.0,30.0,24.0,44.5,0.0,,0.06,8.0,44.5,30.01,SCT:04 300,29.38,10.0,38.0,180.0,,17.5
2014-01-04 01,731.0,1735.0,30.0,31.0,44.0,0.0,,,,60.0,29.99,SCT:04 300,29.36,10.0,39.0,180.0,25.0,16.0
2014-01-04 02,731.0,1735.0,29.98,32.0,43.0,0.0,,0.03,8.0,65.0,29.98,FEW:02 300,29.34,10.0,38.0,180.0,30.0,20.0
2014-01-04 03,731.0,1735.0,29.97,32.5,42.5,0.0,,0.03,8.0,68.0,29.975,FEW:02 20 FEW:02 300,29.35,10.0,38.0,180.0,26.0,18.0
2014-01-04 04,731.0,1735.0,29.95,35.0,41.0,0.0,,,,79.0,29.95,FEW:02 20,29.31,10.0,38.0,180.0,,22.0
2014-01-04 05,731.0,1735.0,29.93,36.0,41.0,0.0,,0.04,8.0,82.0,29.94,FEW:02 20,29.29,10.0,39.0,180.0,,21.0
2014-01-04 06,731.0,1735.0,29.91,36.5,41.0,0.0,,0.04,8.0,84.0,29.925,FEW:02 13,29.295,10.0,39.0,185.0,29.0,21.0
2014-01-04 07,731.0,1735.0,29.91,38.0,41.0,0.0,,,,89.0,29.91,FEW:02 12,29.27,10.0,39.0,190.0,,21.0
2014-01-04 08,731.0,1735.0,29.91,40.0,46.0,0.0,,0.03,5.0,79.0,29.91,SCT:04 13,29.27,10.0,43.0,190.0,30.0,23.0
2014-01-04 09,731.0,1735.0,29.91,41.0,48.0,0.0,,0.03,5.0,76.5,29.91,SCT:04 13,29.285,10.0,44.5,190.0,31.0,21.5
2014-01-04 10,731.0,1735.0,29.88,44.0,55.0,0.0,,,,67.0,29.88,FEW:02 20,29.24,10.0,50.0,190.0,29.0,24.0
2014-01-04 11,731.0,1735.0,29.84,45.0,60.0,0.0,,0.07,8.0,58.0,29.83,FEW:02 20,29.21,10.0,53.0,200.0,32.0,26.0
2014-01-04 12,731.0,1735.0,29.79,45.5,61.0,0.0,,0.07,8.0,57.0,29.805,FEW:02 20,29.195,10.0,54.0,190.0,,23.5
2014-01-04 13,731.0,1735.0,29.75,48.0,67.0,0.0,,,,51.0,29.74,FEW:02 250,29.12,10.0,58.0,190.0,,23.0
2014-01-04 14,731.0,1735.0,29.73,47.0,69.0,0.0,,0.11,6.0,45.0,29.72,FEW:02 250,29.1,10.0,60.0,190.0,31.0,25.0
2014-01-04 15,731.0,1735.0,29.72,47.0,69.0,0.0,,0.11,6.0,45.0,29.715,SCT:04 250 BKN:07 300,29.105,10.0,60.0,185.0,28.0,22.5
2014-01-04 16,731.0,1735.0,29.74,47.0,66.0,0.0,,,,50.0,29.73,BKN:07 250 BKN:07 300,29.11,10.0,57.0,190.0,,15.0
2014-01-04 17,731.0,1735.0,29.75,48.0,64.0,0.0,,-0.01,3.0,56.0,29.74,BKN:07 250 BKN:07 300,29.12,10.0,56.0,170.0,,13.0
2014-01-04 18,732.0,1736.0,29.74,48.5,63.5,0.0,,-0.01,3.0,58.0,29.74,BKN:07 250 BKN:07 300,29.125,10.0,56.0,170.0,,13.0
2014-01-04 19,732.0,1736.0,29.74,49.0,62.0,0.0,,,,62.0,29.73,OVC:08 250,29.11,10.0,55.0,180.0,,16.0
2014-01-04 20,732.0,1736.0,29.74,50.0,62.0,0.0,,0.01,7.0,65.0,29.73,OVC:08 250,29.11,10.0,56.0,180.0,,16.0
2014-01-04 21,732.0,1736.0,29.76,50.0,62.0,0.0,,0.01,7.0,65.0,29.74,OVC:08 250,29.13,10.0,56.0,220.0,,12.0
2014-01-04 22,732.0,1736.0,29.75,43.0,55.0,0.0,,,,64.0,29.74,OVC:08 250,29.12,10.0,49.0,0.0,,0.0
2014-01-04 23,732.0,1736.0,29.77,33.0,50.0,0.0,,-0.04,1.0,52.0,29.77,FEW:02 70 OVC:08 300,29.13,10.0,43.0,320.0,,17.0
2014-01-05 00,732.0,1736.0,29.79,32.0,48.0,0.0,,-0.04,1.0,54.0,29.78,OVC:08 300,29.16,10.0,41.5,320.0,29.0,19.5
2014-01-05 01,732.0,1736.0,29.84,28.0,39.0,0.0,,,,65.0,29.83,FEW:02 70 OVC:08 300,29.21,10.0,35.0,320.0,30.0,23.0
2014-01-05 02,732.0,1736.0,29.89,25.0,35.0,0.0,,-0.11,3.0,67.0,29.88,FEW:02 20 OVC:08 300,29.25,10.0,31.0,320.0,33.0,22.0
2014-01-05 03,732.0,1736.0,29.91,25.0,34.3333333333,0.0,,-0.11,3.0,69.0,29.895,BKN:07 20 OVC:08 300::BKN:07 18 OVC:08 250,29.2733333333,10.0,31.0,323.333333333,34.0,24.3333333333
2014-01-05 04,732.0,1736.0,29.95,25.0,33.0,0.0,,,,72.0,29.94,OVC:08 17,29.31,10.0,30.0,330.0,32.0,21.0
2014-01-05 05,732.0,1736.0,29.99,23.0,32.0,0.0,,-0.1,3.0,69.0,29.99,OVC:08 18,29.35,10.0,29.0,320.0,29.0,21.0
2014-01-05 06,732.0,1736.0,30.03,22.0,31.5,0.0,,-0.1,3.0,68.0,30.01,OVC:08 20,29.385,10.0,28.5,320.0,30.0,21.0
2014-01-05 07,732.0,1736.0,30.08,19.0,31.0,0.0,,,,61.0,30.08,BKN:07 25 OVC:08 32,29.44,10.0,27.0,320.0,26.0,22.0
2014-01-05 08,732.0,1736.0,30.11,17.0,29.5,0.0,,-0.14,1.0,59.5,30.12,SCT:04 24 OVC:08 33::FEW:02 24 BKN:07 33 BKN:07 200,29.47,10.0,25.5,330.0,37.0,23.0
2014-01-05 09,732.0,1736.0,30.17,16.5,30.0,0.0,,-0.14,1.0,57.5,30.145,SCT:04 25 SCT:04 200,29.52,10.0,26.0,325.0,36.0,25.0
2014-01-05 10,732.0,1736.0,30.19,16.0,32.0,0.0,,,,52.0,30.19,FEW:02 29 SCT:04 200,29.55,10.0,27.0,330.0,34.0,25.0
2014-01-05 11,732.0,1736.0,30.2,18.0,35.0,0.0,,-0.07,1.0,50.0,30.2,FEW:02 30 SCT:04 250,29.56,10.0,30.0,320.0,33.0,18.0
2014-01-05 12,732.0,1736.0,30.18,17.5,36.0,0.0,,-0.07,1.0,47.0,30.195,FEW:02 30 FEW:02 250,29.565,10.0,30.5,330.0,,20.5
2014-01-05 13,732.0,1736.0,30.18,16.0,38.0,0.0,,,,41.0,30.19,FEW:02 30 FEW:02 250,29.54,10.0,32.0,330.0,34.0,26.0
2014-01-05 14,732.0,1736.0,30.21,17.0,40.0,0.0,,-0.01,3.0,40.0,30.22,FEW:02 250,29.57,10.0,34.0,340.0,31.0,24.0
2014-01-05 15,732.0,1736.0,30.24,17.0,39.5,0.0,,-0.01,3.0,40.5,30.23,FEW:02 200,29.6,10.0,33.5,345.0,33.0,25.0
2014-01-05 16,732.0,1736.0,30.28,16.0,35.0,0.0,,,,46.0,30.29,FEW:02 120 FEW:02 250,29.64,10.0,30.0,350.0,,23.0
2014-01-05 17,732.0,1736.0,30.32,15.0,32.0,0.0,,-0.11,3.0,50.0,30.33,FEW:02 250,29.68,10.0,27.0,340.0,,24.0
2014-01-05 18,732.0,1737.0,30.37,14.0,31.5,0.0,,-0.11,3.0,48.5,30.355,FEW:02 250,29.715,10.0,26.5,345.0,28.0,22.5
2014-01-05 19,732.0,1737.0,30.41,12.0,29.0,0.0,,,,49.0,30.43,SCT:04 250,29.76,10.0,25.0,360.0,,21.0
2014-01-05 20,732.0,1737.0,30.46,11.0,27.0,0.0,,-0.13,1.0,51.0,30.47,FEW:02 250,29.81,10.0,23.0,350.0,,18.0
2014-01-05 21,732.0,1737.0,30.49,10.0,25.5,0.0,,-0.13,1.0,51.5,30.485,FEW:02 250,29.84,10.0,21.5,350.0,,18.0
2014-01-05 22,732.0,1737.0,30.52,8.0,22.0,0.0,,,,55.0,30.54,FEW:02 250,29.87,10.0,19.0,360.0,,15.0
2014-01-05 23,732.0,1737.0,30.56,6.0,21.0,0.0,,-0.1,3.0,52.0,30.57,FEW:02 250,29.91,10.0,18.0,360.0,,18.0
2014-01-06 00,732.0,1737.0,30.58,5.0,20.0,0.0,,-0.1,3.0,51.5,30.58,CLR:00,29.935,10.0,17.0,355.0,,17.5
2014-01-06 01,732.0,1737.0,30.58,2.0,18.0,0.0,,,,49.0,30.6,CLR:00,29.93,10.0,15.0,10.0,,20.0
2014-01-06 02,732.0,1737.0,30.59,2.0,18.0,0.0,,-0.04,1.0,49.0,30.61,CLR:00,29.94,10.0,15.0,10.0,,20.0
2014-01-06 03,732.0,1737.0,30.6,1.5,17.5,0.0,,-0.04,1.0,49.0,30.615,CLR:00,29.96,10.0,14.5,10.0,25.0,18.5
2014-01-06 04,732.0,1737.0,30.6,1.0,16.0,0.0,,,,51.0,30.62,CLR:00,29.95,10.0,13.0,360.0,,10.0
2014-01-06 05,732.0,1737.0,30.64,1.0,16.0,0.0,,-0.05,3.0,51.0,30.66,CLR:00,29.99,10.0,13.0,360.0,,13.0
2014-01-06 06,732.0,1737.0,30.67,1.0,15.5,0.0,,-0.05,3.0,52.0,30.675,FEW:02 120 FEW:02 300,30.02,10.0,12.5,345.0,,10.5
2014-01-06 07,732.0,1737.0,30.68,2.0,15.0,0.0,,,,56.0,30.71,FEW:02 120 SCT:04 300,30.03,10.0,12.0,310.0,,9.0
2014-01-06 08,732.0,1737.0,30.72,2.0,17.0,0.0,,,3.0,51.0,30.74,FEW:02 120 SCT:04 300,30.07,10.0,14.0,310.0,,13.0
2014-01-06 09,732.0,1737.0,30.74,1.5,18.0,0.0,,-0.08,3.0,48.0,30.75,FEW:02 120 BKN:07 300,30.095,10.0,15.0,320.0,,11.0
2014-01-06 10,732.0,1737.0,30.75,3.0,22.0,0.0,,,,44.0,30.77,FEW:02 120 BKN:07 300,30.1,10.0,18.0,340.0,,11.0
2014-01-06 11,732.0,1737.0,30.72,3.0,24.0,0.0,,,0.0,40.0,30.75,FEW:02 120 BKN:07 300,30.07,10.0,20.0,340.0,,15.0
2014-01-06 12,732.0,1737.0,30.67,3.5,26.0,0.0,,0.0,,37.5,30.72,FEW:02 120 BKN:07 300,30.06,10.0,21.5,325.0,,14.5
2014-01-06 13,732.0,1737.0,30.65,2.0,31.0,0.0,,,,29.0,30.67,SCT:04 300,30.0,10.0,26.0,320.0,,16.0
2014-01-06 14,732.0,1737.0,30.63,2.0,33.0,0.0,,,6.0,26.0,30.65,FEW:02 250 SCT:04 300,29.98,10.0,28.0,350.0,20.0,15.0
2014-01-06 15,732.0,1737.0,30.62,2.0,33.0,0.0,,0.09,6.0,26.0,30.645,FEW:02 250 SCT:04 300,29.99,10.0,28.0,350.0,,14.0
2014-01-06 16,732.0,1737.0,30.62,2.0,32.0,0.0,,,,27.0,30.64,FEW:02 250 SCT:04 300,29.97,10.0,27.0,330.0,,5.0
2014-01-06 17,732.0,1737.0,30.62,3.0,28.0,0.0,,,6.0,34.0,30.64,SCT:04 250 BKN:07 300,29.97,10.0,23.0,340.0,,6.0
2014-01-06 18,732.0,1737.0,30.61,3.0,27.0,0.0,,0.02,6.0,35.5,30.635,BKN:07 300,29.98,10.0,22.5,345.0,,5.5
2014-01-06 19,732.0,1737.0,30.61,4.0,25.0,0.0,,,,40.0,30.64,BKN:07 300,29.96,10.0,21.0,170.0,,3.0
2014-01-06 20,732.0,1737.0,30.62,5.0,24.0,0.0,,,3.0,44.0,30.64,BKN:07 300,29.97,10.0,20.0,180.0,,8.0
2014-01-06 21,732.0,1737.0,30.6,5.5,24.0,0.0,,0.0,4.0,45.0,30.63,SCT:04 300,29.975,10.0,20.0,185.0,,7.5
2014-01-06 22,732.0,1737.0,30.58,7.0,24.0,0.0,,,,48.0,30.61,SCT:04 300,29.93,10.0,20.0,220.0,,6.0
2014-01-06 23,732.0,1737.0,30.57,8.0,19.0,0.0,,,6.0,62.0,30.59,FEW:02 300,29.92,10.0,16.0,200.0,,8.0
2014-01-07 00,732.0,1737.0,30.55,9.0,20.5,0.0,,0.05,6.0,61.0,30.58,SCT:04 300,29.925,10.0,17.5,210.0,,8.0
2014-01-07 01,732.0,1737.0,30.54,9.0,23.0,0.0,,,,55.0,30.56,SCT:04 300,29.89,10.0,20.0,220.0,,9.0
2014-01-07 02,732.0,1737.0,30.55,10.0,24.0,0.0,,0.02,5.0,55.0,30.56,FEW:02 300,29.9,10.0,20.0,220.0,,10.0
2014-01-07 03,732.0,1737.0,30.54,9.5,23.5,0.0,,0.02,5.0,55.0,30.555,CLR:00,29.91,10.0,20.0,215.0,,9.5
2014-01-07 04,732.0,1737.0,30.52,10.0,22.0,0.0,,,,60.0,30.54,CLR:00,29.87,10.0,19.0,220.0,,9.0
2014-01-07 05,732.0,1737.0,30.51,10.0,22.0,0.0,,0.03,8.0,60.0,30.53,CLR:00,29.86,10.0,19.0,210.0,,9.0
2014-01-07 06,732.0,1737.0,30.51,9.5,21.5,0.0,,0.03,8.0,59.5,30.53,FEW:02 300,29.875,10.0,18.5,205.0,,9.0
2014-01-07 07,732.0,1737.0,30.51,10.0,21.0,0.0,,,,62.0,30.53,FEW:02 300,29.86,10.0,18.0,200.0,,9.0
2014-01-07 08,732.0,1737.0,30.51,11.0,29.0,0.0,,0.01,5.0,47.0,30.53,FEW:02 300,29.86,10.0,25.0,190.0,,11.0
2014-01-07 09,732.0,1737.0,30.52,11.0,31.5,0.0,,0.01,5.0,42.5,30.53,FEW:02 300,29.88,10.0,27.0,195.0,,12.5
2014-01-07 10,732.0,1737.0,30.51,11.0,39.0,0.0,,,,31.0,30.52,CLR:00,29.86,10.0,33.0,200.0,,15.0
2014-01-07 11,732.0,1737.0,30.47,12.0,41.5,0.0,,,8.0,30.0,30.47,CLR:00::CLR:00,29.82,10.0,35.5,190.0,,13.5
2014-01-07 12,732.0,1737.0,30.4,10.0,44.0,0.0,,0.05,8.0,25.0,30.44,CLR:00,29.795,10.0,38.5,185.0,,15.0
2014-01-07 13,732.0,1737.0,30.36,12.0,46.0,0.0,,,,25.0,30.38,CLR:00,29.72,10.0,40.0,180.0,,15.0
2014-01-07 14,732.0,1737.0,30.34,11.0,47.0,0.0,,,6.0,23.0,30.35,FEW:02 250,29.7,10.0,41.0,180.0,,17.0
2014-01-07 15,732.0,1737.0,30.32,11.0,46.5,0.0,,0.12,6.0,23.5,30.34,FEW:02 250,29.7,10.0,40.5,180.0,28.0,17.5
2014-01-07 16,732.0,1737.0,30.32,9.0,45.0,0.0,,,,23.0,30.33,FEW:02 250,29.68,10.0,39.0,180.0,29.0,20.0
2014-01-07 17,732.0,1737.0,30.3,9.0,42.0,0.0,,,6.0,25.0,30.31,SCT:04 250,29.66,10.0,36.0,170.0,24.0,20.0
2014-01-07 18,732.0,1738.0,30.3,9.5,41.0,0.0,,0.03,6.0,27.0,30.315,SCT:04 250,29.67,10.0,35.0,170.0,,17.0
2014-01-07 19,732.0,1738.0,30.3,10.0,38.0,0.0,,,,31.0,30.32,SCT:04 250,29.66,10.0,32.0,160.0,,13.0
2014-01-07 20,732.0,1738.0,30.31,11.0,37.0,0.0,,0.0,3.0,34.0,30.32,FEW:02 250,29.67,10.0,31.0,160.0,,13.0
2014-01-07 21,732.0,1738.0,30.3,11.5,37.0,0.0,,0.0,3.0,35.0,30.315,FEW:02 250,29.675,10.0,31.0,160.0,,13.5
2014-01-07 22,732.0,1738.0,30.28,13.0,36.0,0.0,,,,39.0,30.29,FEW:02 40 FEW:02 250,29.64,10.0,30.0,170.0,,11.0
