DATE_HOUR,DAILYSUNRISE,DAILYSUNSET,HOURLYALTIMETERSETTING,HOURLYDEWPOINTTEMPF,HOURLYDRYBULBTEMPF,HOURLYPRECIP,HOURLYPRESENTWEATHERTYPE,HOURLYPRESSURECHANGE,HOURLYPRESSURETENDENCY,HOURLYRELATIVEHUMIDITY,HOURLYSEALEVELPRESSURE,HOURLYSKYCONDITIONS,HOURLYSTATIONPRESSURE,HOURLYVISIBILITY,HOURLYWETBULBTEMPF,HOURLYWINDDIRECTION,HOURLYWINDGUSTSPEED,HOURLYWINDSPEED
2014-01-02 21,757.0,1727.0,30.24,8.0,15.0,,6,,1.0,74.0,30.27,4,29.71,7.0,13.0,350.0,29.0,13.0
2014-01-02 22,757.0,1727.0,30.2633333333,6.66666666667,13.6666666667,,18,,,73.3333333333,30.29,4,29.7333333333,10.0,11.6666666667,340.0,20.6666666667,11.6666666667
2014-01-02 23,757.0,1727.0,30.2866666667,5.66666666667,12.0,,-1,,,75.0,30.33,3,29.7566666667,10.0,10.3333333333,353.333333333,23.0,12.3333333333
2014-01-03 00,757.0,1727.0,30.325,3.0,11.5,0.0,-1,,3.0,68.5,30.37,0,29.795,10.0,9.5,335.0,,8.5
2014-01-03 01,757.0,1727.0,30.36,2.0,9.0,0.0,-1,,,73.0,30.38,0,29.83,10.0,7.0,350.0,,7.0
2014-01-03 02,757.0,1727.0,30.39,1.0,9.0,0.0,-1,,,70.0,30.42,0,29.86,10.0,7.0,290.0,,7.0
2014-01-03 03,757.0,1727.0,30.42,1.0,8.0,0.0,-1,,3.0,73.0,30.45,0,29.88,10.0,7.0,320.0,,6.0
2014-01-03 04,757.0,1727.0,30.43,-1.0,7.0,0.0,-1,,,70.0,30.45,0,29.89,10.0,5.0,330.0,,7.0
2014-01-03 05,757.0,1727.0,30.45,-2.0,6.0,0.0,-1,,,69.0,30.48,0,29.91,10.0,5.0,0.0,,0.0
2014-01-03 06,757.0,1727.0,30.48,-2.0,5.0,0.0,-1,,3.0,72.0,30.51,0,29.94,10.0,4.0,0.0,,0.0
2014-01-03 07,757.0,1727.0,30.5,-2.0,5.0,0.0,-1,,,72.0,30.53,0,29.96,10.0,4.0,0.0,,0.0
2014-01-03 08,757.0,1727.0,30.51,-2.0,4.0,0.0,-1,,,76.0,30.54,0,29.97,10.0,3.0,60.0,,3.0
2014-01-03 09,757.0,1727.0,30.54,-1.0,7.0,0.0,-1,,3.0,70.0,30.57,0,30.0,10.0,5.0,0.0,,0.0
2014-01-03 10,757.0,1727.0,30.54,1.0,8.0,0.0,-1,,,73.0,30.57,0,30.0,10.0,7.0,0.0,,0.0
2014-01-03 11,757.0,1727.0,30.53,1.0,11.0,0.0,-1,,,64.0,30.56,0,29.99,10.0,9.0,0.0,,0.0
2014-01-03 12,757.0,1727.0,30.51,2.0,13.0,0.0,-1,,8.0,61.0,30.53,0,29.97,10.0,11.0,0.0,,0.0
2014-01-03 13,757.0,1727.0,30.48,4.0,15.0,0.0,-1,,,61.0,30.51,0,29.94,10.0,13.0,0.0,,0.0
2014-01-03 14,757.0,1727.0,30.47,5.0,16.0,0.0,-1,,,62.0,30.5,0,29.93,10.0,13.0,0.0,,0.0
2014-01-03 15,757.0,1727.0,30.47,6.0,17.0,0.0,-1,,6.0,62.0,30.5,0,29.93,10.0,14.0,190.0,,8.0
2014-01-03 16,757.0,1727.0,30.44,7.0,17.0,0.0,-1,,,64.0,30.47,0,29.9,10.0,15.0,170.0,,6.0
2014-01-03 17,757.0,1727.0,30.44,7.0,16.0,0.0,-1,,,67.0,30.47,0,29.9,10.0,14.0,160.0,,3.0
2014-01-03 18,757.0,1727.0,30.41,7.0,16.0,0.0,-1,,8.0,67.0,30.44,0,29.87,10.0,14.0,130.0,,5.0
2014-01-03 19,757.0,1728.0,30.4,7.0,15.0,0.0,-1,,,70.0,30.44,0,29.86,10.0,13.0,170.0,,5.0
2014-01-03 20,757.0,1728.0,30.38,7.0,13.0,0.0,-1,,,77.0,30.41,0,29.84,10.0,11.0,190.0,,7.0
2014-01-03 21,757.0,1728.0,30.35,6.0,14.0,0.0,-1,,8.0,71.0,30.38,0,29.81,10.0,12.0,190.0,,6.0
2014-01-03 22,757.0,1728.0,30.32,6.0,13.0,0.0,-1,,,74.0,30.35,0,29.78,10.0,11.0,200.0,,5.0
2014-01-03 23,757.0,1728.0,30.3,5.0,12.0,0.0,-1,,,73.0,30.33,0,29.77,10.0,10.0,210.0,,5.0
2014-01-04 00,757.0,1728.0,30.27,5.0,12.0,0.0,-1,,8.0,73.0,30.3,0,29.74,10.0,10.0,210.0,,5.0
2014-01-04 01,757.0,1728.0,30.26,6.0,13.0,0.0,-1,,,74.0,30.29,0,29.73,10.0,11.0,220.0,,3.0
2014-01-04 02,757.0,1728.0,30.26,6.0,11.0,0.0,-1,,,81.0,30.29,0,29.73,10.0,10.0,0.0,,0.0
2014-01-04 03,757.0,1728.0,30.26,8.0,13.0,0.0,-1,,6.0,81.0,30.28,0,29.73,10.0,12.0,230.0,,6.0
2014-01-04 04,757.0,1728.0,30.25,7.0,13.0,0.0,-1,,,77.0,30.27,0,29.72,10.0,11.0,230.0,,7.0
2014-01-04 05,757.0,1728.0,30.23,8.0,15.0,0.0,-1,,,74.0,30.26,0,29.7,10.0,13.0,220.0,,8.0
2014-01-04 06,757.0,1728.0,30.23,8.0,15.0,0.0,-1,,6.0,74.0,30.25,0,29.7,10.0,13.0,210.0,,8.0
2014-01-04 07,757.0,1728.0,30.23,9.0,17.0,0.0,-1,,,70.0,30.25,0,29.7,10.0,15.0,200.0,,9.0
2014-01-04 08,757.0,1728.0,30.23,10.0,17.0,0.0,-1,,,74.0,30.25,0,29.7,10.0,15.0,200.0,,9.0
2014-01-04 09,757.0,1728.0,30.22,12.0,21.0,0.0,-1,,8.0,68.0,30.24,0,29.69,10.0,18.0,200.0,,9.0
2014-01-04 10,757.0,1728.0,30.19,15.0,25.0,0.0,-1,,,66.0,30.22,0,29.66,10.0,22.0,190.0,,10.0
2014-01-04 11,757.0,1728.0,30.15,18.0,32.0,0.0,-1,,,56.0,30.18,0,29.62,10.0,28.0,210.0,21.0,13.0
2014-01-04 12,757.0,1728.0,30.12,18.0,34.0,0.0,-1,,8.0,52.0,30.14,0,29.59,10.0,29.0,200.0,,13.0
2014-01-04 13,757.0,1728.0,30.1,17.0,37.0,0.0,-1,,,44.0,30.12,0,29.57,10.0,31.0,200.0,28.0,23.0
2014-01-04 14,757.0,1728.0,30.09,19.0,37.0,0.0,-1,,,48.0,30.11,0,29.56,10.0,32.0,220.0,,13.0
2014-01-04 15,757.0,1728.0,30.09,19.0,37.0,0.0,-1,,6.0,48.0,30.11,0,29.56,10.0,32.0,190.0,,14.0
2014-01-04 16,757.0,1728.0,30.09,20.0,37.0,0.0,-1,,,50.0,30.11,0,29.56,10.0,32.0,190.0,,9.0
2014-01-04 17,757.0,1728.0,30.08,18.0,35.0,0.0,-1,,,50.0,30.1,0,29.55,10.0,30.0,210.0,,5.0
2014-01-04 18,757.0,1728.0,30.08,20.0,28.0,0.0,-1,,8.0,72.0,30.1,0,29.55,10.0,25.0,0.0,,0.0
2014-01-04 19,757.0,1729.0,30.08,24.0,25.0,0.0,-1,,,96.0,30.1,0,29.55,10.0,25.0,0.0,,0.0
2014-01-04 20,757.0,1729.0,30.08,20.0,26.0,0.0,-1,,,78.0,30.1,0,29.55,10.0,24.0,340.0,,3.0
2014-01-04 21,757.0,1729.0,30.06,19.0,23.0,0.0,-1,,8.0,85.0,30.09,0,29.53,10.0,22.0,0.0,,0.0
2014-01-04 22,757.0,1729.0,30.07,20.0,33.0,0.0,-1,,,58.0,30.09,3,29.54,10.0,29.0,,,5.0
2014-01-04 23,757.0,1729.0,30.08,23.0,34.0,0.0,-1,,,64.0,30.1,4,29.55,10.0,30.0,180.0,,3.0
2014-01-05 00,757.0,1729.0,30.09,26.0,32.0,0.0,-1,,2.0,79.0,30.1,2,29.56,10.0,30.0,0.0,,0.0
2014-01-05 01,757.0,1729.0,30.08,27.0,31.0,0.0,-1,,,85.0,30.09,4,29.55,10.0,29.0,0.0,,0.0
2014-01-05 02,757.0,1729.0,30.08,27.0,31.0,0.0,-1,,,85.0,30.09,2,29.55,10.0,29.0,0.0,,0.0
2014-01-05 03,757.0,1729.0,30.07,25.0,32.0,0.0,-1,,6.0,75.0,30.08,3,29.54,10.0,29.0,0.0,,0.0
2014-01-05 04,757.0,1729.0,30.04,28.0,32.0,0.0,-1,,,85.0,30.05,3,29.51,10.0,30.0,0.0,,0.0
2014-01-05 05,757.0,1729.0,30.03,27.0,32.0,0.0,-1,,,82.0,30.05,4,29.5,10.0,30.0,0.0,,0.0
2014-01-05 06,757.0,1729.0,30.02,28.5,32.0,0.0,-1,,6.0,87.5,30.03,4,29.49,10.0,30.5,0.0,,0.0
2014-01-05 07,757.0,1729.0,30.0,30.0,32.0,0.0,-1,,,92.0,30.02,4,29.47,10.0,31.0,0.0,,0.0
2014-01-05 08,757.0,1729.0,29.99,30.0,33.0,0.0,-1,,,89.0,30.01,4,29.46,10.0,32.0,0.0,,0.0
2014-01-05 09,757.0,1729.0,29.95,30.0,33.0,0.0,-1,,8.0,89.0,29.96,3,29.42,10.0,32.0,0.0,,0.0
2014-01-05 10,757.0,1729.0,29.88,30.0,35.0,0.0,-1,,,82.0,29.9,4,29.35,10.0,33.0,0.0,,0.0
2014-01-05 11,757.0,1729.0,29.82,35.0,39.0,0.0,-1,,,86.0,29.83,2,29.29,10.0,37.0,160.0,,9.0
2014-01-05 12,757.0,1729.0,29.73,36.0,41.0,0.0,-1,,8.0,82.0,29.74,4,29.2,10.0,39.0,170.0,,3.0
2014-01-05 13,757.0,1729.0,29.66,38.0,44.0,0.0,-1,,,79.0,29.67,4,29.13,10.0,41.0,0.0,,0.0
2014-01-05 14,757.0,1729.0,29.65,38.0,46.0,0.0,-1,,,73.0,29.66,3,29.13,10.0,42.0,190.0,,9.0
2014-01-05 15,757.0,1729.0,29.64,39.0,42.0,0.03,0,,6.0,89.0,29.65,4,29.11,5.0,40.0,310.0,,10.0
2014-01-05 16,757.0,1729.0,29.6,38.5,39.0,0.055,0,,,98.0,29.6,4,29.075,3.0,38.5,25.0,,2.5
2014-01-05 17,757.0,1729.0,29.5566666667,37.3333333333,38.3333333333,0.09,0,,,96.3333333333,29.57,4,29.0366666667,1.75,37.6666666667,0.0,,0.0
2014-01-05 18,757.0,1729.0,29.532,38.2,38.2,0.154,0,,6.0,100.0,29.53,3,29.012,1.15,38.2,32.0,,1.0
2014-01-05 19,757.0,1730.0,29.4877777778,37.3333333333,37.3333333333,0.0244444444444,0,,,100.0,29.48,3,28.9677777778,0.805555555556,37.3333333333,28.8888888889,,0.333333333333
2014-01-05 20,757.0,1730.0,29.5133333333,40.0,39.0,0.0633333333333,0,,,100.0,29.55,3,28.9933333333,3.91666666667,40.0,286.666666667,27.3333333333,16.3333333333
2014-01-05 21,757.0,1730.0,29.59,,34.0,0.04,6,-0.12,3.0,,29.6,4,29.07,6.0,,280.0,,10.5
2014-01-05 22,757.0,1730.0,29.644,,31.6,0.01,6,,,,29.72,4,29.118,3.4,,300.0,27.8,16.8
2014-01-05 23,757.0,1730.0,29.76,,26.0,0.0,-1,,,,29.77,4,29.23,10.0,,290.0,20.0,15.0
2014-01-06 00,757.0,1730.0,29.82,,25.0,,-1,-0.22,1.0,,29.83,4,29.29,10.0,,,28.0,15.0
2014-01-06 01,757.0,1730.0,29.9,,19.0,,6,,,,29.91,4,29.37,7.0,,280.0,38.0,25.0
2014-01-06 02,757.0,1730.0,29.9633333333,,17.0,,6,,,,29.98,4,29.4333333333,7.66666666667,,286.666666667,24.0,13.3333333333
2014-01-06 03,757.0,1730.0,30.02,,13.0,,6,-0.12,1.0,,30.04,3,29.49,5.0,,270.0,28.0,22.0
2014-01-06 04,757.0,1730.0,30.08,,9.0,,-1,,,,30.09,4,29.55,8.0,,290.0,26.0,17.0
2014-01-06 05,757.0,1730.0,30.105,,6.5,0.0,-1,,,,30.13,4,29.575,10.0,,270.0,31.0,17.5
2014-01-06 06,757.0,1730.0,30.16,,3.0,0.0,-1,,1.0,,30.19,1,29.63,10.0,,290.0,32.0,18.0
2014-01-06 07,757.0,1730.0,30.2,-7.0,1.0,,6,,,68.5,30.22,3,29.67,3.5,0.0,280.0,25.0,16.5
2014-01-06 08,757.0,1730.0,30.24,-11.0,-0.5,,-1,,,61.0,30.26,2,29.71,10.0,-1.5,290.0,30.0,16.5
2014-01-06 09,757.0,1730.0,30.26,-7.0,0.0,,6,,1.0,72.0,30.29,3,29.73,3.0,-1.0,270.0,22.0,18.0
2014-01-06 10,757.0,1730.0,30.29,-11.0,-1.0,,-1,,,62.0,30.32,4,29.75,9.0,-2.0,290.0,30.0,15.0
2014-01-06 11,757.0,1730.0,30.28,-8.0,0.5,0.0,-1,,,66.5,30.3,1,29.745,10.0,-0.5,270.0,27.5,19.0
2014-01-06 12,757.0,1730.0,30.27,-9.5,-0.5,,-1,,1.0,65.0,30.3,3,29.74,10.0,-1.5,270.0,,17.5
2014-01-06 13,757.0,1730.0,30.275,-11.0,-0.5,0.0,-1,,,61.0,30.3,3,29.745,10.0,-1.5,265.0,26.5,15.5
2014-01-06 14,757.0,1730.0,30.29,-6.0,0.0,,6,,,77.0,30.32,3,29.75,4.0,-1.0,270.0,24.0,16.5
2014-01-06 15,757.0,1730.0,30.31,-8.0,-1.0,,1,,3.0,72.0,30.35,3,29.78,5.0,-2.0,250.0,,18.0
2014-01-06 16,757.0,1730.0,30.325,-9.5,-0.5,0.0,9,,,65.0,30.37,4,29.79,9.0,-1.5,275.0,25.0,14.5
2014-01-06 17,757.0,1730.0,30.35,-10.0,-1.0,,6,,,65.0,30.39,3,29.81,6.5,-2.0,255.0,26.5,18.0
2014-01-06 18,757.0,1730.0,30.375,-9.75,-2.0,,6,,3.0,70.75,30.42,4,29.8375,4.625,-3.0,260.0,24.75,16.0
2014-01-06 19,757.0,1731.0,30.41,-11.0,-4.0,,6,,,71.0,30.45,4,29.87,3.0,-5.0,240.0,26.0,21.0
2014-01-06 20,757.0,1731.0,30.42,-13.0,-5.0,0.0,-1,,,68.0,30.46,4,29.88,7.0,-6.0,260.0,28.0,21.0
2014-01-06 21,757.0,1731.0,30.4366666667,-11.3333333333,-5.66666666667,,6,,1.0,75.3333333333,30.48,4,29.8966666667,5.0,-6.66666666667,270.0,25.6666666667,14.0
2014-01-06 22,757.0,1731.0,30.45,-13.0,-5.0,,9,,,68.0,30.49,4,29.91,6.0,-6.0,250.0,26.0,14.0
2014-01-06 23,757.0,1731.0,30.45,-12.0,-5.0,0.0,-1,,,72.0,30.49,4,29.91,8.0,-6.0,250.0,23.0,10.0
2014-01-07 00,757.0,1731.0,30.46,-12.0,-5.0,0.0,9,,3.0,72.0,30.5,3,29.92,6.0,-6.0,260.0,26.0,17.0
2014-01-07 01,757.0,1731.0,30.46,-12.0,-5.0,0.0,-1,,,72.0,30.5,3,29.92,10.0,-6.0,240.0,,11.0
2014-01-07 02,757.0,1731.0,30.48,-13.0,-5.0,0.0,-1,,,68.0,30.52,3,29.94,10.0,-6.0,240.0,,11.0
2014-01-07 03,757.0,1731.0,30.45,-12.0,-4.0,0.0,-1,,8.0,68.0,30.49,3,29.91,10.0,-5.0,240.0,,10.0
2014-01-07 04,757.0,1731.0,30.465,-11.5,-4.0,0.0,-1,,,69.5,30.51,1,29.925,10.0,-5.0,225.0,,12.0
2014-01-07 05,757.0,1731.0,30.46,-11.0,-4.0,0.0,-1,,,71.0,30.5,0,29.92,10.0,-5.0,210.0,,13.0
2014-01-07 06,757.0,1731.0,30.47,-10.0,-4.0,0.0,-1,,1.0,75.0,30.51,0,29.93,10.0,-5.0,230.0,,10.0
2014-01-07 07,757.0,1731.0,30.49,-11.0,-3.0,0.0,-1,,,68.0,30.53,0,29.95,10.0,-4.0,230.0,21.0,15.0
2014-01-07 08,757.0,1731.0,30.51,-10.0,-2.0,0.0,-1,,,68.0,30.55,0,29.97,10.0,-3.0,230.0,22.0,10.0
2014-01-07 09,757.0,1731.0,30.54,-8.0,1.0,0.0,-1,,3.0,65.0,30.58,0,30.0,10.0,0.0,240.0,,11.0
2014-01-07 10,757.0,1731.0,30.52,-7.0,3.0,0.0,-1,,,62.0,30.56,0,29.98,10.0,2.0,230.0,21.0,14.0
2014-01-07 11,757.0,1731.0,30.51,-4.0,6.0,0.0,-1,,,63.0,30.55,0,29.97,10.0,4.0,220.0,,16.0
2014-01-07 12,757.0,1731.0,30.46,-4.0,8.0,0.0,-1,,8.0,57.0,30.5,1,29.92,10.0,6.0,250.0,,11.0
2014-01-07 13,757.0,1731.0,30.45,-3.0,9.0,0.0,-1,,,58.0,30.49,0,29.91,10.0,7.0,240.0,,13.0
2014-01-07 14,757.0,1731.0,30.43,-2.0,11.0,0.0,-1,,,55.0,30.47,0,29.89,10.0,9.0,220.0,,11.0
2014-01-07 15,757.0,1731.0,30.44,-2.0,12.0,0.0,-1,,5.0,53.0,30.48,4,29.9,10.0,9.0,200.0,,9.0
2014-01-07 16,757.0,1731.0,30.43,0.0,11.0,0.0,-1,,,61.0,30.47,4,29.89,10.0,9.0,200.0,,10.0
2014-01-07 17,757.0,1731.0,30.42,0.0,11.0,0.0,-1,,,61.0,30.45,2,29.88,10.0,9.0,200.0,,11.0
2014-01-07 18,757.0,1731.0,30.42,1.0,11.0,0.0,-1,,5.0,64.0,30.46,4,29.88,10.0,9.0,200.0,,7.0
2014-01-07 19,757.0,1732.0,30.43,1.0,12.0,0.0,-1,,,61.0,30.47,2,29.89,10.0,10.0,180.0,,5.0
2014-01-07 20,757.0,1732.0,30.44,3.0,12.0,0.0,-1,,,67.0,30.48,4,29.9,10.0,10.0,180.0,,9.0
2014-01-07 21,757.0,1732.0,30.46,3.0,12.0,0.0,-1,,3.0,67.0,30.49,4,29.92,10.0,10.0,220.0,,7.0
2014-01-07 22,757.0,1732.0,30.45,2.0,11.0,0.0,-1,,,67.0,30.48,1,29.91,10.0,9.0,190.0,,5.0
2014-01-07 23,757.0,1732.0,30.44,2.0,11.0,0.0,-1,,,67.0,30.47,2,29.9,10.0,9.0,0.0,,0.0
2014-01-08 00,757.0,1732.0,30.43,3.0,10.0,0.0,-1,,7.0,73.0,30.47,1,29.89,10.0,8.0,190.0,,3.0
2014-01-08 01,757.0,1732.0,30.44,4.0,9.0,0.0,-1,,,80.0,30.47,0,29.9,10.0,8.0,200.0,,5.0
2014-01-08 02,757.0,1732.0,30.45,4.0,10.0,0.0,-1,,,76.0,30.48,0,29.91,10.0,9.0,200.0,,3.0
2014-01-08 03,757.0,1732.0,30.44,4.0,9.0,0.0,-1,,0.0,80.0,30.47,0,29.9,10.0,8.0,200.0,,5.0
2014-01-08 04,757.0,1732.0,30.43,5.0,10.0,0.0,-1,,,80.0,30.46,0,29.89,10.0,9.0,200.0,,5.0
2014-01-08 05,757.0,1732.0,30.43,5.0,11.0,0.0,-1,,,77.0,30.46,0,29.89,10.0,10.0,190.0,,6.0
2014-01-08 06,757.0,1732.0,30.43,5.0,11.0,0.0,-1,,5.0,77.0,30.46,0,29.89,10.0,10.0,210.0,,5.0
2014-01-08 07,757.0,1732.0,30.45,7.0,12.0,0.0,-1,,,80.0,30.48,2,29.91,10.0,11.0,210.0,,6.0
2014-01-08 08,757.0,1732.0,30.46,8.0,13.0,0.0,-1,,,81.0,30.49,2,29.92,10.0,12.0,200.0,,6.0
2014-01-08 09,757.0,1732.0,30.49,9.0,16.0,0.0,-1,,3.0,74.0,30.52,3,29.95,10.0,14.0,190.0,,6.0
2014-01-08 10,757.0,1732.0,30.49,11.0,20.0,0.0,-1,,,68.0,30.51,4,29.95,10.0,18.0,190.0,,6.0
2014-01-08 11,757.0,1732.0,30.45,13.0,25.0,0.0,-1,,,60.0,30.48,0,29.91,10.0,22.0,190.0,,7.0
2014-01-08 12,757.0,1732.0,30.41,15.0,28.0,0.0,-1,,8.0,58.0,30.44,1,29.87,10.0,24.0,190.0,,8.0
2014-01-08 13,757.0,1732.0,30.41,17.0,31.0,0.0,-1,,,56.0,30.44,0,29.87,10.0,27.0,180.0,,6.0
2014-01-08 14,757.0,1732.0,30.41,18.0,30.0,0.0,-1,,,61.0,30.43,2,29.87,10.0,26.0,190.0,,7.0
2014-01-08 15,757.0,1732.0,30.41,18.0,31.0,0.0,-1,,6.0,59.0,30.43,4,29.87,10.0,27.0,200.0,,9.0
2014-01-08 16,757.0,1732.0,30.42,18.0,30.0,0.0,-1,,,61.0,30.45,3,29.88,10.0,26.0,210.0,,8.0
